Episode,Title,Manga Chapter
1,Enter: Naruto Uzumaki!,1
2,My Name is Konohamaru!,2
3,Sasuke and Sakura: Friends or Foes?,3
4,Pass or Fail: Survival Test,4 | 5 | 6
5,You Failed! Kakashi's Final Decision,6 | 7 | 8
6,A Dangerous Mission! Journey to the Land of Waves!,9 | 10 | 11
7,The Assassin of the Mist!,11 | 12
8,The Oath of Pain,13 | 14
9,Kakashi: Sharingan Warrior,15 | 16
10,The Forest of Chakra,17 | 18
11,The Land Where a Hero Once Lived,19 | 20
12,Battle on the Bridge! Zabuza Returns!!,21 | 22
13,Haku's Secret Jutsu: Crystal Ice Mirrors,23 | 24
14,"The Number One Hyperactive, Knucklehead Ninja Joins the Fight!!",25
15,Zero Visibility: The Sharingan Shatters,25 | 26
16,The Broken Seal,26 | 27
17,White Past: Hidden Ambition,28 | 29 | 30
18,The Weapons Known as Shinobi,31 | 32
19,The Demon in the Snow,32 | 33
20,A New Chapter Begins: The Chunin Exam!,34
21,Identify Yourself: Powerful New Rivals,35 | 36
22,Chunin Challenge: Rock Lee vs. Sasuke!,37 | 38
23,Genin Takedown! All Nine Rookies Face Off!,38 | 39 | 40
24,Start Your Engines: The Chunin Exam Begins!,40 | 41 | 42
25,The Tenth Question: All or Nothing!,43 | 44
26,Special Report: Live from the Forest of Death!,Filler
27,The Chunin Exam Stage 2: The Forest of Death,45 | 46
28,Eat or be Eaten: Panic in the Forest,46 | 47
29,Naruto's Counterattack: Never Give In!,48 | 49
30,The Sharingan Revived: Dragon-Flame Jutsu!,49 | 50
31,Bushy Brow's Pledge: Undying Love and Protection!,51 | 52
32,Sakura Blossoms!,53 | 54
33,Battle Formation: Ino-Shika-Cho!,55 | 56
34,Akamaru Trembles: Gaara's Cruel Strength!,57 | 58 | 59
35,The Scroll's Secret: No Peeking Allowed,60 | 61
36,Clone vs. Clone: Mine are Better than Yours!,62 | 63
37,Surviving the Cut! The Rookie Nine Together Again!,63 | 64 | 65
38,Narrowing the Field: Sudden Death Elimination!,65 | 66
39,Bushy Brow's Jealousy: Lions Barrage Unleashed!,67 | 68 | 69
40,Kakashi and Orochimaru: Face-to-Face!,69 | 70
41,Kunoichi Rumble: The Rivals Get Serious!,70 | 71
42,The Ultimate Battle: Cha!,72 | 73
43,Killer Kunoichi and a Shaky Shikamaru,73 | 74
44,Akamaru Unleashed! Who's Top Dog Now?,75 | 76
45,Surprise Attack! Naruto's Secret Weapon!,76 | 77
46,Byakugan Battle: Hinata Grows Bold!,78 | 79
47,A Failure Stands Tall!,79 | 80 | 81
48,Gaara vs. Rock Lee: The Power of Youth Explodes!,81 | 82 | 83
49,Lee's Hidden Strength: Forbidden Secret Jutsu!,83 | 84 | 85
50,The Fifth Gate: A Splendid Ninja is Born,85 | 86 | 87
51,A Shadow in Darkness: Danger Approaches Sasuke,87 | 88 | 89
52,Ebisu Returns: Naruto's Toughest Training Yet!,89 | 90
53,Long Time No See: Jiraiya Returns!,91
54,The Summoning Jutsu: Wisdom of the Toad Sage!,91 | 92
55,"A Feeling of Yearning, A Flower Full of Hope",92 | 93
56,Live or Die: Risk it All to Win it All!,94 | 95
57,He Flies! He Jumps! He Lurks! Chief Toad Appears!,95 | 96
58,Hospital Besieged: The Evil Hand Revealed!,96 | 97
59,The Final Rounds: Rush to the Battle Arena!,98
60,Byakugan vs. Shadow Clone,99 | 100
61,Ultimate Defense: Zero Blind Spot!,100 | 101 | 102
62,A Failure's True Power,103 | 104 | 105
63,Hit it or Quit it: The Final Rounds Get Complicated!,105 | 106
64,Zero Motivation: The Guy with Cloud Envy!,106 | 107 | 108
65,"Dancing Leaf, Squirming Sand",109 | 110
66,Bushy Brow's Jutsu: Sasuke Style!,111 | 112
67,"Late for the Show, But Ready to Go! The Ultimate Secret Technique is Born!",112 | 113 | 114
68,Zero Hour! The Destruction of the Hidden Leaf Village Begins!,115 | 116
69,Village in Distress: A New A-Ranked Mission!,117 | 118
70,A Shirker's Call to Action: A Layabout No More!,118 | 119
71,An Unrivaled Match: Hokage Battle Royale!,120 | 121
72,A Mistake from the Past: A Face Revealed!,121 | 122
73,Forbidden Secret Technique: Reaper Death Seal!,123 | 124
74,Astonishing Truth! Gaara's Identity Emerges!,125 | 126
75,Sasuke's Decision: Pushed to the Edge!,127 | 128
76,Assassin of the Moonlit Night,129 | 130
77,Light vs. Dark: The Two Faces of Gaara,131 | 132
78,Naruto's Ninja Handbook,133 | 134 | 135
79,Beyond the Limit of Darkness and Light,136 | 137
80,"The Third Hokage, Forever...",138 | 139
81,Return of the Morning Mist,140 | 141
82,Eye to Eye: Sharingan vs. Sharingan!,142 | 143
83,Jiraiya: Naruto's Potential Disaster!,143 | 144
84,"Roar, Chidori! Brother vs. Brother!",145 | 146
85,Hate Among the Uchihas: The Last of the Clan!,147 | 148
86,A New Training Begins: I Will Be Strong!,149 | 150
87,Keep on Training: Pop Goes the Water Balloon!,151
88,Focal Point: The Mark of the Leaf,152 | 153 | 154
