Episode,Title,Manga Chapter
1,Homecoming,245
2,The Akatsuki Makes Its Move,245 | 246 | 247
3,The Results of Training,246 | 247 | 248
4,The Jinchuriki of the Sand,248
5,The Kazekage Stands Tall,249
6,Mission Cleared,249
7,"Run, Kankuro",250 | 251
8,"Team Kakashi, Deployed",250
9,The Jinchuriki's Tears,251 | 252
10,Sealing Jutsu: Nine Phantom Dragons,253 | 254
11,The Medical Ninja's Student,253 | 254
12,The Retired Granny's Determination,254 | 255
13,A Meeting With Destiny,256 | 257
14,Naruto's Growth,258 | 259
15,The Secret Weapon is Called....,260
16,The Secret of Jinchuriki,261
17,The Death of Gaara!,261 | 262
18,Charge Tactic! Button Hook Entry!!,262 | 263
19,Traps Activate! Team Guy's Enemies,263 | 264
20,Hiruko vs. Two Kunoichi!,264 | 265
21,Sasori's Real Face,266 | 267
22,Chiyo's Secret Skills,267 | 268
23,Father and Mother,268 | 269
24,The Third Kazekage,269 | 270
25,Three Minutes Between Life and Death,270 | 271
26,Puppet Fight: 10 vs. 100!,272 | 273
27,Impossible Dream,274 | 275
28,Beasts! Alive Again!,Filler
29,Kakashi Enlightened!,276 | 277
30,Aesthetics of an Instant,277 | 278
31,The Legacy!,279 | 280
32,Return of the Kazekage,280 | 281
33,The New Target,282 | 283
34,Formation! New Team Kakashi!,283 | 284
35,An Unnecessary Addition,285 | 291
36,The Fake Smile,286
37,Untitled,287
38,Simulation,288 | 289
39,The Tenchi Bridge,289 | 290 | 291
40,Nine-Tails Unleashed,291
41,The Top-Secret Mission Begins,292 | 293
42,Orochimaru vs. Jinchuriki,294 | 295
43,Sakura's Tears,296
44,The Secret of the Battle!,297 | 298
45,The Consequences of Betrayal,298 | 299
46,The Unfinished Page,299 | 300
47,Infiltration: The Den of the Snake!,301 | 302
48,Bonds,302 | 303
49,Something Important...,304
50,The Picture Book's Story,304 | 305
51,Reunion,305 | 306 | 307
52,The Power of the Uchiha,307 | 308 | 309
53,Title,309 | 310
54,Nightmare,311 | 312
55,Wind,314 | 315 | 316
56,Squirming,317 | 318
57,Robbed of Sleep,Filler
58,Loneliness,Filler
59,A New Enemy,Filler
60,Impermanence,Filler
61,Contact,Filler
62,Teammate,Filler
63,The Two Kings,Filler
64,The Jet-Black Signal Fire,Filler
65,Lockdown of Darkness,Filler
66,Revived Souls,Filler
67,Everyone's Struggle to the Death,Filler
68,Moment of Awakening,Filler
69,Despair,Filler
70,Resonance,Filler
71,My Friend,Filler
72,The Quietly Approaching Threat,312 | 313 | 314
73,Akatsuki's Invasion,314 | 318
74,Under the Starry Sky,318 | 319
75,The Old Monk's Prayer,320 | 321
76,The Next Step,320 | 321 | 322
77,Climbing Silver,322 | 323
78,The Judgment,323 | 324 | 325
79,Unfulfilled Scream,325 | 326
80,Last Words,327 | 328
81,Sad News,329 | 330
82,Team Ten,330 | 331
83,Target: Locked On,331 | 332 | 333
84,Kakuzu's Abilities,333 | 334
85,Terrifying Secret,335 | 336
86,Shikamaru's Genius,336 | 337
87,"When You Curse Someone, You Dig Your Own Grave",338 | 339
88,Wind Style: Rasen Shuriken!,339 | 340 | 341 | 342
89,The Price of Power,342 | 346
90,A Shinobi's Determination,343 | 346 | 347
91,Orochimaru's Hideout Discovered,Filler
92,Encounter,Filler
93,Connecting Hearts,Filler
94,A Night of Rain,Filler
95,The Two Charms,Filler
96,The Unseeing Enemy,Filler
97,The Labyrinth of Distorted Reflection,Filler
98,The Target Appears,Filler
99,The Rampaging Tailed Beast,Filler
100,Inside the Mist,Filler
101,Everyone's Feelings,Filler
102,Regroup!,Filler
103,The Four-Corner Sealing Barrier,Filler
104,Breaking the Crystal Style,Filler
105,The Battle Over the Barrier,Filler
106,Red Camellia,Filler
107,Strange Bedfellows,Filler
108,Guidepost of the Camellia,Filler
109,Cursed Seal Counterattack,Filler
110,Memory of Guilt,Filler
111,Shattered Promise,Filler
112,A Place to Return To,Filler
113,The Serpent's Pupil,343 | 344
114,Eye of a Hawk,344 | 345 | 346
115,Zabuza's Blade,346 | 347
116,Guardian of the Iron Wall,348
117,Jugo of the Northern Hideout,349 | 350 | 351
118,Formation!,351 | 352
119,"Kakashi Chronicles: A Boy's Life on the Battlefield, Part 1",239 | 240 | 241
120,"Kakashi Chronicles: A Boy's Life on the Battlefield, Part 2",242 | 243 | 244
121,Assemble,353 | 354
122,The Hunt,355 | 356 | 357
123,Clash!,356 | 357 | 358 | 359
124,Art,360 | 361 | 362
125,Disappearance,363 | 364
126,Twilight,365 | 366 | 367
127,Tales of a Gutsy Ninja ~Jiraiya Ninja Scroll~ Part 1,376 | 381
128,Tales of a Gutsy Ninja ~Jiraiya Ninja Scroll~ Part 2,369 | 372 | 373 | 376 | 382
129,Infiltrate! The Village Hidden in the Rain,367 | 368 | 369
130,The Man Who Became God,370 | 371 | 372 | 373 | 374
131,Honored Sage Mode!,375 | 376
132,"In Attendance, the Six Paths of Pain",377 | 378 | 379
133,The Tale of Jiraiya the Gallant,381 | 382 | 383
