Episode,Manga Chapter
1,1
2,2
3,3
4,4 | 5 | 6
5,6 | 7 | 8
6,9 | 10 | 11
7,11 | 12
8,13 | 14
9,15 | 16
10,17 | 18
11,19 | 20
12,21 | 22
13,23 | 24
14,25
15,25 | 26
16,26 | 27
17,28 | 29 | 30
18,31 | 32
19,32 | 33
20,34
21,35 | 36
22,37 | 38
23,38 | 39 | 40
24,40 | 41 | 42
25,43 | 44
26,Filler
27,45 | 46
28,46 | 47
29,48 | 49
30,49 | 50
31,51 | 52
32,53 | 54
33,55 | 56
34,57 | 58 | 59
35,60 | 61
36,62 | 63
37,63 | 64 | 65
38,65 | 66
39,67 | 68 | 69
40,69 | 70
41,70 | 71
42,72 | 73
43,73 | 74
44,75 | 76
45,76 | 77
46,78 | 79
47,79 | 80 | 81
48,81 | 82 | 83
49,83 | 84 | 85
50,85 | 86 | 87
51,87 | 88 | 89
52,89 | 90
53,91
54,91 | 92
55,92 | 93
56,94 | 95
57,95 | 96
58,96 | 97
59,98
60,99 | 100
61,100 | 101 | 102
62,103 | 104 | 105
63,105 | 106
64,106 | 107 | 108
65,109 | 110
66,111 | 112
67,112 | 113 | 114
68,115 | 116
69,117 | 118
70,118 | 119
71,120 | 121
72,121 | 122
73,123 | 124
74,125 | 126
75,127 | 128
76,129 | 130
77,131 | 132
78,133 | 134 | 135
79,136 | 137
80,138 | 139
81,140 | 141
82,142 | 143
83,143 | 144
84,145 | 146
85,147 | 148
86,149 | 150
87,151
88,152 | 153 | 154
89,155 | 156 | 157
90,157 | 158
91,159 | 160
92,161 | 162 | 163
93,163 | 164
94,165 | 166 | 167
95,168 | 169
96,170 | 171
97,Filler
98,172 | 173 | 174
99,177
100,179 | 180
101,Filler
102,Filler
103,Filler
104,Filler
105,Filler
106,Filler
107,173 | 174 | 175 | 184
108,176 | 177
109,178 | 179 | 181
110,182 | 183
111,183 | 184 | 185 | 186
112,186 | 187
113,188 | 189
114,189 | 190 | 191
115,191 | 192 | 193
116,194 | 195
117,196 | 197 | 198
118,198 | 199
119,200 | 201 | 202
120,203 | 204
121,205 | 206
122,207 | 208
123,209 | 210
124,211 | 212
125,213 | 214 | 215
126,215 | 216
127,216 | 217
128,218 | 219
129,220 | 221 | 222
130,223 | 224
131,224 | 225
132,226 | 227 | 228
133,229 | 230 | 231
134,231 | 232 | 233 | 234 | 235
135,235 | 236 | 237 | 238
136,Filler
137,Filler
138,Filler
139,Filler
140,Filler
141,236
142,238
143,Filler
144,Filler
145,Filler
146,Filler
147,Filler
148,Filler
149,Filler
150,Filler
151,Filler
152,Filler
153,Filler
154,Filler
155,Filler
156,Filler
157,Filler
158,Filler
159,Filler
160,Filler
161,Filler
162,Filler
163,Filler
164,Filler
165,Filler
166,Filler
167,Filler
168,Filler
169,Filler
170,Filler
171,Filler
172,Filler
173,Filler
174,Filler
175,Filler
176,Filler
177,Filler
178,Filler
179,Filler
180,Filler
181,Filler
182,Filler
183,Filler
184,Filler
185,Filler
186,Filler
187,Filler
188,Filler
189,Filler
190,Filler
191,Filler
192,Filler
193,Filler
194,Filler
195,Filler
196,Filler
197,Filler
198,Filler
199,Filler
200,Filler
201,Filler
202,Filler
203,Filler
204,Filler
205,Filler
206,Filler
207,Filler
208,Filler
209,Filler
210,Filler
211,Filler
212,Filler
213,Filler
214,Filler
215,Filler
216,Filler
217,Filler
218,Filler
219,Filler
220,238
