Episode,Manga Chapter
1,2
2,3 | 4 | 5
3,5 | 6 | 7
4,1 | 8
5,8 | 9 | 10 | 11
6,11 | 12 | 13 | 14 | 15
7,15 | 16 | 17 | 18
8,19 | 20 | 21
9,23 | 24
10,24 | 25 | 26
11,26 | 27
12,28 | 29 | 30
13,30 | 31 | 32
14,33 | 34
15,35 | 36 | 37
16,38 | 39
17,39 | 40 | 41
18,22 | 42
19,5 | 42
20,42 | 43
21,44 | 45
22,46 | 47
23,48 | 49
24,50 | 51 | 52
25,53 | 54 | 55
26,56 | 57 | 58 | 59
27,59 | 60 | 61 | 62
28,62 | 63 | 64
29,65 | 66
30,67 | 68
31,69 | 70 | 71
32,70 | 71 | 72 | 73
33,73 | 74 | 75
34,75 | 76 | 77
35,77 | 78
36,78 | 79 | 80
37,80 | 81
38,82 | 83 | 84
39,84 | 85 | 86
40,86 | 87 | 88
41,88 | 89 | 90
42,90 | 91 | 92
43,92 | 93 | 94
44,95
45,96
46,35 | 37 | 39 | 40 | 42 | 43 | 46 | 47 | 48 | 50 | 51 | 53 | 54
47,36 | 55 | 57 | 58 | 59 | 60 | 62 | 63 | 65 | 66 | 67 | 68 | 71 | 72 | 73 | 74 | 75
48,96 | 97 | 98
49,97
50,Filler
51,Filler
52,98 | 99
53,100
54,101
55,101
56,Filler
57,Filler
58,Filler
59,Filler
60,Filler
61,101
62,102 | 103
63,103 | 104 | 105
64,106 | 107
65,107 | 108 | 109 | 110
66,110 | 111 | 112
67,113 | 114
68,83 | 85 | 87 | 93 | 95 | 99 | 101 | 102 | 104 | 106 | 108 | 110 | 112 | 113
69,114 | 116 | 118 | 119
70,115 | 116 | 117
71,116 | 118
72,117 | 118 | 119
73,119 | 120
74,121 | 122
75,123 | 124
76,124 | 125 | 126
77,127 | 128 | 129
78,129 | 130 | 131
79,128 | 131 | 132
80,132 | 133 | 134
81,134 | 135 | 136
82,136 | 137 | 138
83,138 | 139
84,139 | 140
85,140 | 141 | 142 | 143
86,141 | 143 | 144 | 145
87,145 | 146 | 147 | 148
88,147 | 148 | 149 | 150
89,150 | 151 | 152
90,152 | 153
91,142 | 154 | 155
92,155 | 156 | 157
93,158
94,157 | 158
95,159
96,159 | 160 | 161
97,162
98,162
99,Filler
100,163 | 164
101,159
102,Filler
103,160 | 161 | 162 | 163 | 164 | 165
104,165 | 166
105,167 | 168
106,169 | 170
107,171 | 172
108,172 | 173 | 174
109,175 | 176
110,176 | 177 | 178
111,179 | 180
112,180 | 181 | 182 | 183
113,182 | 183 | 184
114,184 | 185 | 186
115,186 | 187 | 188
116,188 | 189 | 190
117,190 | 191 | 192
118,192 | 193
119,194 | 195
120,196 | 197
121,198 | 199
122,200 | 201
123,202 | 203
124,204 | 205
125,206 | 207 | 208
126,208 | 209 | 210
127,211 | 212
128,213 | 214
129,215 | 216
130,217 | 218
131,Filler
132,Filler
133,Filler
134,Filler
135,Filler
136,Filler
137,Filler
138,Filler
139,Filler
140,Filler
141,Filler
142,Filler
143,218
144,218 | 219 | 220
145,221
146,222 | 223 | 224
147,225 | 226
148,227 | 228
149,229 | 230
150,231 | 232
151,232 | 233 | 234
152,235 | 236
153,237 | 238
154,239 | 240
155,241
156,242
157,243
158,244
159,245
160,246 | 247
161,247
162,248 | 249
163,249 | 250
164,251
165,252
166,253
167,254
168,255 | 256
169,256 | 257 | 258
170,258 | 259
171,260 | 261
172,261 | 262 | 263
173,263 | 264
174,263 | 264 | 265 | 266 | 268 | 272
175,266 | 267
176,268 | 15 | 269
177,270 | 271
178,271 | 272
179,272 | 273
180,274 | 275
181,275 | 276 | 277
182,276 | 277 | 278 | 279
183,280 | 281
184,282 | 283
185,283 | 284
186,284 | 285 | 286
187,286 | 287 | 288
188,289 | 290 | 291
189,291 | 292 | 293
190,294 | 295
191,295 | 296 | 297
192,297 | 298
193,299 | 300
194,301
195,302 | 303
196,Filler
197,Filler
198,Filler
199,Filler
200,Filler
201,Filler
202,Filler
